ID,Name,Year,Rank,Average,Bayes average,Users rated,URL,Thumbnail
224517,Brass: Birmingham,2018,1,8.61,8.422,41899,/boardgame/224517/brass-birmingham,https://cf.geekdo-images.com/x3zxjr-Vw5iU4yDPg70Jgw__micro/img/4Od3GYCiqptga0VbmyumPbJlBsU=/fit-in/64x64/filters:strip_icc()/pic3490053.jpg
161936,Pandemic Legacy: Season 1,2015,2,8.53,8.386,51912,/boardgame/161936/pandemic-legacy-season-1,https://cf.geekdo-images.com/-Qer2BBPG7qGGDu6KcVDIw__micro/img/n6-sXYD6XXZoqIxq4P6AG7VPCuA=/fit-in/64x64/filters:strip_icc()/pic2452831.png
174430,Gloomhaven,2017,3,8.61,8.373,60228,/boardgame/174430/gloomhaven,https://cf.geekdo-images.com/sZYp_3BTDGjh2unaZfZmuA__micro/img/sQyh47ClBO3d5sxPm73hMvM-JV4=/fit-in/64x64/filters:strip_icc()/pic2437871.jpg
342942,Ark Nova,2021,4,8.53,8.321,36886,/boardgame/342942/ark-nova,https://cf.geekdo-images.com/SoU8p28Sk1s8MSvoM4N8pQ__micro/img/LSAi1pmhbTbWwtBrziutDOXzfdY=/fit-in/64x64/filters:strip_icc()/pic6293412.jpg
233078,Twilight Imperium: Fourth Edition,2017,5,8.61,8.242,22090,/boardgame/233078/twilight-imperium-fourth-edition,https://cf.geekdo-images.com/_Ppn5lssO5OaildSE-FgFA__micro/img/2gymaKs35_2yj7eyyA6cYyVmd9c=/fit-in/64x64/filters:strip_icc()/pic3727516.jpg
167791,Terraforming Mars,2016,6,8.37,8.222,93953,/boardgame/167791/terraforming-mars,https://cf.geekdo-images.com/wg9oOLcsKvDesSUdZQ4rxw__micro/img/LUkXZhd1TO80eCiXMD3-KfnzA6k=/fit-in/64x64/filters:strip_icc()/pic3536616.jpg
316554,Dune: Imperium,2020,7,8.42,8.209,39498,/boardgame/316554/dune-imperium,https://cf.geekdo-images.com/PhjygpWSo-0labGrPBMyyg__micro/img/mfU7-dEFnVyXJrF-BWAO0buexao=/fit-in/64x64/filters:strip_icc()/pic5666597.jpg
291457,Gloomhaven: Jaws of the Lion,2020,8,8.47,8.189,31495,/boardgame/291457/gloomhaven-jaws-lion,https://cf.geekdo-images.com/_HhIdavYW-hid20Iq3hhmg__micro/img/OdKjWiFsNvQAfJfXXSITttiozWE=/fit-in/64x64/filters:strip_icc()/pic5055631.jpg
115746,War of the Ring: Second Edition,2011,9,8.53,8.18,20099,/boardgame/115746/war-ring-second-edition,https://cf.geekdo-images.com/ImPgGag98W6gpV1KV812aA__micro/img/NT-Av_3kdYUcwuti5ocmIQXow3g=/fit-in/64x64/filters:strip_icc()/pic1215633.jpg
187645,Star Wars: Rebellion,2016,10,8.42,8.171,31057,/boardgame/187645/star-wars-rebellion,https://cf.geekdo-images.com/7SrPNGBKg9IIsP4UQpOi8g__micro/img/nEvTiCkWpT-ymH4bstc9c335TtQ=/fit-in/64x64/filters:strip_icc()/pic4325841.jpg
162886,Spirit Island,2017,11,8.35,8.151,47456,/boardgame/162886/spirit-island,https://cf.geekdo-images.com/kjCm4ZvPjIZxS-mYgSPy1g__micro/img/sRPer5FmBxyV527MY67P-gM7ukg=/fit-in/64x64/filters:strip_icc()/pic7013651.jpg
220308,Gaia Project,2017,12,8.39,8.129,25761,/boardgame/220308/gaia-project,https://cf.geekdo-images.com/hGWFm3hbMlCDsfCsauOQ4g__micro/img/odWj2bEnZi9dEcQQrOtYj1e0QLE=/fit-in/64x64/filters:strip_icc()/pic5375625.png
12333,Twilight Struggle,2005,13,8.25,8.076,47625,/boardgame/12333/twilight-struggle,https://cf.geekdo-images.com/pNCiUUphnoeWOYfsWq0kng__micro/img/ZlfJiIATIt5MY7xWSMzFmdygaa0=/fit-in/64x64/filters:strip_icc()/pic3530661.jpg
182028,Through the Ages: A New Story of Civilization,2015,14,8.3,8.074,30572,/boardgame/182028/through-ages-new-story-civilization,https://cf.geekdo-images.com/fVwPntkJKgaEo0rIC0RwpA__micro/img/77dZJpqtydc8TTecl0ReGF7iAVw=/fit-in/64x64/filters:strip_icc()/pic2663291.jpg
193738,Great Western Trail,2016,15,8.21,8.048,39592,/boardgame/193738/great-western-trail,https://cf.geekdo-images.com/u1l0gH7sb_vnvDvoO_QHqA__micro/img/xeShpQfbj4L1id-ItJbfIYVzgyA=/fit-in/64x64/filters:strip_icc()/pic4887376.jpg
84876,The Castles of Burgundy,2011,16,8.13,8.008,59771,/boardgame/84876/castles-burgundy,https://cf.geekdo-images.com/5CFwjd8zTcGYVUnkXh04hw__micro/img/N1VrEUaW6bmwnqbZfi2nRScwGxM=/fit-in/64x64/filters:strip_icc()/pic1176894.jpg
169786,Scythe,2016,17,8.16,8.006,79745,/boardgame/169786/scythe,https://cf.geekdo-images.com/7k_nOxpO9OGIjhLq2BUZdA__micro/img/ETplc22GdhlN5u0mppcDxSP8LVk=/fit-in/64x64/filters:strip_icc()/pic3163924.jpg
173346,7 Wonders Duel,2015,18,8.1,7.972,89248,/boardgame/173346/7-wonders-duel,https://cf.geekdo-images.com/zdagMskTF7wJBPjX74XsRw__micro/img/nXtpcw3tYaelntFHb1aH4YrN7Wk=/fit-in/64x64/filters:strip_icc()/pic2576399.jpg
246900,Eclipse: Second Dawn for the Galaxy,2020,19,8.48,7.97,12049,/boardgame/246900/eclipse-second-dawn-galaxy,https://cf.geekdo-images.com/Oh3kHw6lweg6ru71Q16h2Q__micro/img/vhB59zFDq3Kul0xbr3api2selZs=/fit-in/64x64/filters:strip_icc()/pic5235277.jpg
28720,Brass: Lancashire,2007,20,8.19,7.962,24158,/boardgame/28720/brass-lancashire,https://cf.geekdo-images.com/tHVtPzu82mBpeQbbZkV6EA__micro/img/jM8d5Q5btvJmcWQN_px-A-nlueI=/fit-in/64x64/filters:strip_icc()/pic3469216.jpg
167355,Nemesis,2018,21,8.28,7.961,28239,/boardgame/167355/nemesis,https://cf.geekdo-images.com/tAqLpWxQ0Oo3GaPP3MER1g__micro/img/tivhH093LwCowK-_S7bVF_xha34=/fit-in/64x64/filters:strip_icc()/pic5073276.jpg
177736,A Feast for Odin,2016,22,8.18,7.948,26854,/boardgame/177736/feast-odin,https://cf.geekdo-images.com/s9oGMCo1fcfV4Dk3EnqLZw__micro/img/JCrcuFDrjVQ64uLbqpH-Pmg6XsU=/fit-in/64x64/filters:strip_icc()/pic3146943.png
266507,Clank! Legacy: Acquisitions Incorporated,2019,23,8.56,7.948,8700,/boardgame/266507/clank-legacy-acquisitions-incorporated,https://cf.geekdo-images.com/hc2NDafu5c24iLJh_IZmyg__micro/img/v2WzacDprYF837E6h9O2WuFFmpw=/fit-in/64x64/filters:strip_icc()/pic4885780.png
124361,Concordia,2013,24,8.1,7.947,38844,/boardgame/124361/concordia,https://cf.geekdo-images.com/CzwSm8i7tkLz6cBnrILZBg__micro/img/FQyxREkHBn7yTbGmBg7c44eLgaM=/fit-in/64x64/filters:strip_icc()/pic3453267.jpg
266192,Wingspan,2019,25,8.06,7.916,85622,/boardgame/266192/wingspan,https://cf.geekdo-images.com/yLZJCVLlIx4c7eJEWUNJ7w__micro/img/5ZaRePVhfelfofF7T_OC1e0gUCw=/fit-in/64x64/filters:strip_icc()/pic4458123.jpg
120677,Terra Mystica,2012,26,8.07,7.911,46859,/boardgame/120677/terra-mystica,https://cf.geekdo-images.com/bre12I1YiXkZr7elvriz4A__micro/img/SAwaBrDhHbGuq6dFY-ok95qFMcU=/fit-in/64x64/filters:strip_icc()/pic5375624.jpg
205637,Arkham Horror: The Card Game,2016,27,8.13,7.905,41352,/boardgame/205637/arkham-horror-card-game,https://cf.geekdo-images.com/B5F5ulz0UivNgrI9Ky0euA__micro/img/DnDtwD_7oQR982carXqiVfhOQog=/fit-in/64x64/filters:strip_icc()/pic3122349.jpg
312484,Lost Ruins of Arnak,2020,28,8.08,7.896,39316,/boardgame/312484/lost-ruins-arnak,https://cf.geekdo-images.com/6GqH14TJJhza86BX5HCLEQ__micro/img/2FKVaukjh9a-Kg9LWQuMSvLS34s=/fit-in/64x64/filters:strip_icc()/pic5674958.jpg
237182,Root,2018,29,8.08,7.886,47157,/boardgame/237182/root,https://cf.geekdo-images.com/JUAUWaVUzeBgzirhZNmHHw__micro/img/tdHLiMYfi-KTy89sGBGZVeE9ts0=/fit-in/64x64/filters:strip_icc()/pic4254509.jpg
341169,Great Western Trail: Second Edition,2021,30,8.38,7.883,10504,/boardgame/341169/great-western-trail-second-edition,https://cf.geekdo-images.com/gDn7AhrDlmfCLSz9ZqoNFQ__micro/img/eGBh_Csj13hXnODUTB-7dmpq-M0=/fit-in/64x64/filters:strip_icc()/pic5988511.jpg
164928,Orléans,2014,31,8.06,7.875,30101,/boardgame/164928/orleans,https://cf.geekdo-images.com/nagl1li6kYt9elV9jbfVQw__micro/img/hUKCvnqgFvTl0aOMd8FLkgCObT0=/fit-in/64x64/filters:strip_icc()/pic6228507.jpg
199792,Everdell,2018,32,8.04,7.859,49558,/boardgame/199792/everdell,https://cf.geekdo-images.com/fjE7V5LNq31yVEW_yuqI-Q__micro/img/TAgkPCJdNAIHZfn1BE1DXadBL9g=/fit-in/64x64/filters:strip_icc()/pic3918905.png
96848,Mage Knight Board Game,2011,33,8.09,7.857,32594,/boardgame/96848/mage-knight-board-game,https://cf.geekdo-images.com/DUO2hz9AlLOH8p9ED-lCWg__micro/img/eXzdbUmCbIdMIVgiQ_QwS3YNOS4=/fit-in/64x64/filters:strip_icc()/pic1083380.jpg
183394,Viticulture Essential Edition,2015,34,8,7.851,46269,/boardgame/183394/viticulture-essential-edition,https://cf.geekdo-images.com/l_PRU2lVlX9seScRFcvFlA__micro/img/3EqHlTkNSnZNFHVaAeFSpzfzuIQ=/fit-in/64x64/filters:strip_icc()/pic6500949.jpg
251247,Barrage,2019,35,8.18,7.85,16219,/boardgame/251247/barrage,https://cf.geekdo-images.com/jEPmWvvYpqkWrKOzqIHFsg__micro/img/Uwm0ZfmY4ZNWWxlackDXrsmS-Io=/fit-in/64x64/filters:strip_icc()/pic4336469.png
324856,The Crew: Mission Deep Sea,2021,36,8.19,7.847,14650,/boardgame/324856/crew-mission-deep-sea,https://cf.geekdo-images.com/VuBqZ1sMaDAVVHF_OEJP4g__micro/img/p3GKOrR04nV1qkim9zq-rmFfYh8=/fit-in/64x64/filters:strip_icc()/pic5988903.jpg
192135,Too Many Bones,2017,37,8.35,7.839,11891,/boardgame/192135/too-many-bones,https://cf.geekdo-images.com/wKwRk0wYBcrtLAfgn4PCdg__micro/img/Q6VXZKoVSlMjTU7Vp8tn1tkcVzw=/fit-in/64x64/filters:strip_icc()/pic6624445.png
175914,Food Chain Magnate,2015,38,8.07,7.809,19514,/boardgame/175914/food-chain-magnate,https://cf.geekdo-images.com/Wtxml94LAXsIWQCxGPS63Q__micro/img/4Oucoa190njfSaNHr8YRIl6UnTU=/fit-in/64x64/filters:strip_icc()/pic2649434.png
256960,Pax Pamir: Second Edition,2019,39,8.22,7.801,12548,/boardgame/256960/pax-pamir-second-edition,https://cf.geekdo-images.com/oSM_AuKYfGIwOtKbVEsoVg__micro/img/SKUliR88eoltB2ytmwz3BffW7aA=/fit-in/64x64/filters:strip_icc()/pic4503733.png
285774,Marvel Champions: The Card Game,2019,40,8.13,7.8,22062,/boardgame/285774/marvel-champions-card-game,https://cf.geekdo-images.com/kRvUgYiaOq07kC67ZK5UoQ__micro/img/4DLQr45lpVBfCkiy-kVwhl4z4vQ=/fit-in/64x64/filters:strip_icc()/pic4900321.jpg
247763,Underwater Cities,2018,41,8.07,7.79,18261,/boardgame/247763/underwater-cities,https://cf.geekdo-images.com/PwOwTVHovJAUQgghnGqCOg__micro/img/9ftDcGDumAWKm_3hmu6JUwjb1aU=/fit-in/64x64/filters:strip_icc()/pic4837710.png
3076,Puerto Rico,2002,42,7.92,7.787,69934,/boardgame/3076/puerto-rico,https://cf.geekdo-images.com/QFiIRd2kimaMqTyWsX0aUg__micro/img/ggNIAA1GEadqvcY7Mvwb9_VEybU=/fit-in/64x64/filters:strip_icc()/pic158548.jpg
295770,Frosthaven,2022,43,8.87,7.779,5617,/boardgame/295770/frosthaven,https://cf.geekdo-images.com/iEBr5o8AbJi9V9cgQcYROQ__micro/img/n9Ol4YKAhRLuOu4f7OVVXGjlWSQ=/fit-in/64x64/filters:strip_icc()/pic6177719.jpg
102794,Caverna: The Cave Farmers,2013,44,7.96,7.774,33874,/boardgame/102794/caverna-cave-farmers,https://cf.geekdo-images.com/rz22tqa5PCYvK9oDjIbvxg__micro/img/sog7ni3vUAAfvd66e6XW4iOca4I=/fit-in/64x64/filters:strip_icc()/pic1790789.jpg
170216,Blood Rage,2015,45,7.94,7.768,45338,/boardgame/170216/blood-rage,https://cf.geekdo-images.com/HkZSJfQnZ3EpS214xtuplg__micro/img/7xdR1_OUo1ReAvYzhi7jBhFMHu0=/fit-in/64x64/filters:strip_icc()/pic2439223.jpg
295947,Cascadia,2021,46,7.96,7.767,31793,/boardgame/295947/cascadia,https://cf.geekdo-images.com/MjeJZfulbsM1DSV3DrGJYA__micro/img/x2BDobiHVhQHl7LhBimeU8L1ko4=/fit-in/64x64/filters:strip_icc()/pic5100691.jpg
185343,Anachrony,2017,47,8.08,7.761,17654,/boardgame/185343/anachrony,https://cf.geekdo-images.com/31quLNzteInnevVRAABoow__micro/img/CMEokoPk9cBV5A82_eBwjDJPMfE=/fit-in/64x64/filters:strip_icc()/pic3499707.jpg
31260,Agricola,2007,48,7.88,7.759,71446,/boardgame/31260/agricola,https://cf.geekdo-images.com/dDDo2Hexl80ucK1IlqTk-g__micro/img/SZgGqufNqaW8BCFT29wkYPaRXOE=/fit-in/64x64/filters:strip_icc()/pic831744.jpg
184267,On Mars,2020,49,8.21,7.758,11784,/boardgame/184267/mars,https://cf.geekdo-images.com/Nm0Iw8NoiM9V8IsifimGBw__micro/img/HQNReYu8QkZqD4dbZeWg3cQrkv0=/fit-in/64x64/filters:strip_icc()/pic4357658.jpg
521,Crokinole,1876,50,8.02,7.749,17030,/boardgame/521/crokinole,https://cf.geekdo-images.com/7ejbxsn-UtLl3ehamuAEdw__micro/img/5UygdMxz3N_dTCkGlwVlgJXK_vg=/fit-in/64x64/filters:strip_icc()/pic79413.jpg
255984,Sleeping Gods,2021,51,8.27,7.738,10149,/boardgame/255984/sleeping-gods,https://cf.geekdo-images.com/Zdt8l4oTBpFICsMyNof7Jg__micro/img/xnXopdLVlL31M169AjW8ofHRe5Q=/fit-in/64x64/filters:strip_icc()/pic5975244.png
284378,Kanban EV,2020,52,8.44,7.738,6797,/boardgame/284378/kanban-ev,https://cf.geekdo-images.com/L2Wn-zUqkcHgqvwvY212Ig__micro/img/2pY9Wo185ehuYO7Mb0gTDpdww74=/fit-in/64x64/filters:strip_icc()/pic4924232.jpg
366013,Heat: Pedal to the Metal,2022,53,8.1,7.736,14960,/boardgame/366013/heat-pedal-metal,https://cf.geekdo-images.com/-vOrd4bOspibyohYExLqWg__micro/img/bcHg_0mMkgMaBp9Sz1gxJtHtaHw=/fit-in/64x64/filters:strip_icc()/pic6940449.png
314040,Pandemic Legacy: Season 0,2020,54,8.42,7.735,6928,/boardgame/314040/pandemic-legacy-season-0,https://cf.geekdo-images.com/y0x1zbkpUXjddzWWnhekYw__micro/img/oUW7QBHTiMOcpt5FgNXd_Uy2LfM=/fit-in/64x64/filters:strip_icc()/pic5581457.jpg
221107,Pandemic Legacy: Season 2,2017,55,8.04,7.733,16323,/boardgame/221107/pandemic-legacy-season-2,https://cf.geekdo-images.com/Qtkb-UTvHa0-kxt_MK1nKw__micro/img/eYV_Y45Hk66WceHroLlRqnHEHmg=/fit-in/64x64/filters:strip_icc()/pic3763549.jpg
205059,Mansions of Madness: Second Edition,2016,56,7.96,7.724,34880,/boardgame/205059/mansions-madness-second-edition,https://cf.geekdo-images.com/LIooA9bTdjnE9qmhjL-UFw__micro/img/rsUu4YzIErI1oi6TRRA-cKiS-I0=/fit-in/64x64/filters:strip_icc()/pic3118622.jpg
276025,Maracaibo,2019,57,8.05,7.721,15111,/boardgame/276025/maracaibo,https://cf.geekdo-images.com/rMNa0k05zMdKgSEp26Q3Tw__micro/img/rDI-yCgwVbB_szRjUWOY8IKIdUk=/fit-in/64x64/filters:strip_icc()/pic4917407.jpg
161533,Lisboa,2017,58,8.2,7.72,10462,/boardgame/161533/lisboa,https://cf.geekdo-images.com/OrHS8_a1CqSGiXeTfCk0Wg__micro/img/rpfZR0COMOP41SI2EZPrSrX_LL8=/fit-in/64x64/filters:strip_icc()/pic3209553.jpg
126163,Tzolk'in: The Mayan Calendar,2012,59,7.87,7.711,38133,/boardgame/126163/tzolk-mayan-calendar,https://cf.geekdo-images.com/kXf7mDyDYuHg6oe8yTUIEA__micro/img/3EqJtoxAlTb2pJWxmA7TUu4HWNI=/fit-in/64x64/filters:strip_icc()/pic4604439.jpg
2651,Power Grid,2004,60,7.82,7.708,64070,/boardgame/2651/power-grid,https://cf.geekdo-images.com/yd6LuatytHRhcFCxCf-EEg__micro/img/ZUrGKfXAZS4AztFRXq2W9oD6TG4=/fit-in/64x64/filters:strip_icc()/pic4459753.jpg
244521,The Quacks of Quedlinburg,2018,61,7.83,7.69,45691,/boardgame/244521/quacks-quedlinburg,https://cf.geekdo-images.com/pH5LgRL4mNRon-2NsSDb1Q__micro/img/pAWwGfiqFpn-kkzUKexMTZOvoA4=/fit-in/64x64/filters:strip_icc()/pic6137509.png
216132,Clans of Caledonia,2017,62,7.95,7.689,19790,/boardgame/216132/clans-caledonia,https://cf.geekdo-images.com/SPuwc6RJ6y4PnTH36Pegsg__micro/img/wWI0kOjt4L4TOOV_Dn2BLthq5QQ=/fit-in/64x64/filters:strip_icc()/pic3511783.png
35677,Le Havre,2008,63,7.85,7.685,30919,/boardgame/35677/le-havre,https://cf.geekdo-images.com/y7Rqd3S6J7vyVhicR1bqTQ__micro/img/c1qPt4uwG4qhjxmrgtIuKulwQkI=/fit-in/64x64/filters:strip_icc()/pic6091101.jpg
266810,Paladins of the West Kingdom,2019,64,7.99,7.685,16638,/boardgame/266810/paladins-west-kingdom,https://cf.geekdo-images.com/4nhokcLdYoo6ulbZ1rmGgA__micro/img/WMzScSxJICvIyErl47KBVoskhnQ=/fit-in/64x64/filters:strip_icc()/pic4462987.png
164153,Star Wars: Imperial Assault,2014,65,7.97,7.682,24133,/boardgame/164153/star-wars-imperial-assault,https://cf.geekdo-images.com/pIQ_MXvaoARRp1loCHJuHg__micro/img/i2soAnlvaDCzWksrpO2By4-GgGA=/fit-in/64x64/filters:strip_icc()/pic2247647.jpg
284083,The Crew: The Quest for Planet Nine,2019,66,7.83,7.682,38989,/boardgame/284083/crew-quest-planet-nine,https://cf.geekdo-images.com/98LnQShydr11OBKS46xY-Q__micro/img/bIVTqYzQ5wDuCSmcQvpNokXZOUo=/fit-in/64x64/filters:strip_icc()/pic5687013.jpg
125153,The Gallerist,2015,67,8.03,7.68,13941,/boardgame/125153/gallerist,https://cf.geekdo-images.com/ie1GSt1XV04sXQXt-3O1UQ__micro/img/Zxap2me5W8VgLK_VNU_lY5vLnbA=/fit-in/64x64/filters:strip_icc()/pic2503200.png
182874,Grand Austria Hotel,2015,68,7.93,7.672,19532,/boardgame/182874/grand-austria-hotel,https://cf.geekdo-images.com/GlCmHjdLwv3SqSjv52ToGw__micro/img/egqhEcYTqBsaT7AeNBe2LdUcGZs=/fit-in/64x64/filters:strip_icc()/pic6966955.jpg
209010,Mechs vs. Minions,2016,69,7.98,7.67,17073,/boardgame/209010/mechs-vs-minions,https://cf.geekdo-images.com/n4J5LebMj0DQD016qW7ABw__micro/img/n4vvAq2JZvjf0yS_Mugr79dqM90=/fit-in/64x64/filters:strip_icc()/pic3184103.jpg
253344,Cthulhu: Death May Die,2019,70,8.17,7.667,10858,/boardgame/253344/cthulhu-death-may-die,https://cf.geekdo-images.com/e8D09pfFsUsoX1D81EeoZg__micro/img/g4fUW30OaTTN48VW7tdVOIAEvWQ=/fit-in/64x64/filters:strip_icc()/pic4705171.jpg
124742,Android: Netrunner,2012,71,7.88,7.66,29674,/boardgame/124742/android-netrunner,https://cf.geekdo-images.com/2ewHIIG_TRq8bYlqk0jIMw__micro/img/U5irACQ5P-7X9XyeDWj71ai-Ruw=/fit-in/64x64/filters:strip_icc()/pic3738560.jpg
55690,Kingdom Death: Monster,2015,72,8.5,7.658,9368,/boardgame/55690/kingdom-death-monster,https://cf.geekdo-images.com/LenzJBOHboAGU0cUIqAZPQ__micro/img/6YI32BDhyuO9JZrofc1CPbuFlVY=/fit-in/64x64/filters:strip_icc()/pic2931007.jpg
230802,Azul,2017,73,7.76,7.646,84410,/boardgame/230802/azul,https://cf.geekdo-images.com/aPSHJO0d0XOpQR5X-wJonw__micro/img/3M2bj5ZXqAskTOvLTXRuHOH-Y44=/fit-in/64x64/filters:strip_icc()/pic6973671.png
200680,Agricola (Revised Edition),2016,74,7.96,7.634,16661,/boardgame/200680/agricola-revised-edition,https://cf.geekdo-images.com/Vf_0TrTfz9yll7rVBvYGsg__micro/img/-rkh8miCGz860ChoPFB0i_jjgog=/fit-in/64x64/filters:strip_icc()/pic3029377.jpg
231733,Obsession,2018,75,8.16,7.634,9458,/boardgame/231733/obsession,https://cf.geekdo-images.com/sy89BiuZXfbSnG7Cag9tBQ__micro/img/0VYxwvacU7ADCGyJt5iLMa5WQoA=/fit-in/64x64/filters:strip_icc()/pic5902073.png
28143,Race for the Galaxy,2007,76,7.75,7.633,54244,/boardgame/28143/race-galaxy,https://cf.geekdo-images.com/-DOqixs8uwKUvvWPKI4f9w__micro/img/Fz_qRw_ZHI9TfZXY0b4YZ6zfT7o=/fit-in/64x64/filters:strip_icc()/pic5261714.jpg
72125,Eclipse: New Dawn for the Galaxy,2011,77,7.84,7.629,28124,/boardgame/72125/eclipse-new-dawn-galaxy,https://cf.geekdo-images.com/cnFppsVNOSTJ-W3APQFuTg__micro/img/dfQTNAju5CUxn6JQl-Pxubac99o=/fit-in/64x64/filters:strip_icc()/pic1974056.jpg
157354,Five Tribes,2014,78,7.78,7.627,40341,/boardgame/157354/five-tribes,https://cf.geekdo-images.com/dmo-WD6HZHVUPrbVHunaTw__micro/img/fxKL3MvU00YeEkfeLNdQGUl5rxA=/fit-in/64x64/filters:strip_icc()/pic2055255.jpg
191189,Aeon's End,2016,79,7.92,7.626,19384,/boardgame/191189/aeons-end,https://cf.geekdo-images.com/d50LceHj6LIafa4S_qIsCg__micro/img/0El7f9TAr9UfvKlcsXYrBe8jEOc=/fit-in/64x64/filters:strip_icc()/pic3189350.jpg
201808,Clank!: A Deck-Building Adventure,2016,80,7.79,7.624,40461,/boardgame/201808/clank-deck-building-adventure,https://cf.geekdo-images.com/DPjV1iI0ygo5Bl3XLNRiIg__micro/img/5hO7ln_bquTyy4Q__ksB4NT1gMs=/fit-in/64x64/filters:strip_icc()/pic4449526.jpg
159675,Fields of Arle,2014,81,8.04,7.608,10535,/boardgame/159675/fields-arle,https://cf.geekdo-images.com/0w8go6cfvlpgJKydHUkDtA__micro/img/9JEU9pIfwl2wUIE3fmCmjjH_iiM=/fit-in/64x64/filters:strip_icc()/pic2225968.png
229853,Teotihuacan: City of Gods,2018,82,7.88,7.607,19153,/boardgame/229853/teotihuacan-city-gods,https://cf.geekdo-images.com/wW5xjgBJcFyLaEWZwrYuKA__micro/img/kXVTBtcGC-5L706WFNJLAuZTovQ=/fit-in/64x64/filters:strip_icc()/pic4583626.jpg
25613,Through the Ages: A Story of Civilization,2006,83,7.85,7.607,19172,/boardgame/25613/through-ages-story-civilization,https://cf.geekdo-images.com/3piN3YX4WmBRuIvbEG2Ygg__micro/img/xy_566fY112BYtYJjT29cfAcHsk=/fit-in/64x64/filters:strip_icc()/pic236169.jpg
317985,Beyond the Sun,2020,84,7.95,7.603,12998,/boardgame/317985/beyond-sun,https://cf.geekdo-images.com/BfEHqHQAvZLbRX7y7e9TWg__micro/img/RgHc2PFvpz3xxRPRg5v7d46JQNc=/fit-in/64x64/filters:strip_icc()/pic5617866.jpg
110327,Lords of Waterdeep,2012,85,7.73,7.595,54215,/boardgame/110327/lords-waterdeep,https://cf.geekdo-images.com/-hk8f8iGk_DyWyMrfiPBkg__micro/img/tWSg9ErrwvVcwaE1Kze1IsxwpGg=/fit-in/64x64/filters:strip_icc()/pic1116080.jpg
171623,The Voyages of Marco Polo,2015,86,7.79,7.588,24314,/boardgame/171623/voyages-marco-polo,https://cf.geekdo-images.com/n1G7_aWToLAAB7Mqt8iwyA__micro/img/c8Ld-3E8S0devFlugLvyiAEESbY=/fit-in/64x64/filters:strip_icc()/pic2461346.png
62219,Dominant Species,2010,87,7.82,7.587,20736,/boardgame/62219/dominant-species,https://cf.geekdo-images.com/oeygRZntjNUJWvc8SxDfww__micro/img/gXi23Nbfem6XTfRlV2eHEHB_cHY=/fit-in/64x64/filters:strip_icc()/pic784193.jpg
121921,Robinson Crusoe: Adventures on the Cursed Island,2012,88,7.76,7.586,42225,/boardgame/121921/robinson-crusoe-adventures-cursed-island,https://cf.geekdo-images.com/FbFnaTx3aT5dM18K_bR_Pg__micro/img/brcsM5-72GgeBDQg3CSI6VB1Dqo=/fit-in/64x64/filters:strip_icc()/pic3165731.jpg
68448,7 Wonders,2010,89,7.69,7.583,101640,/boardgame/68448/7-wonders,https://cf.geekdo-images.com/35h9Za_JvMMMtx_92kT0Jg__micro/img/4BRnGQ-EoU-2LNirfZpUC3HRReU=/fit-in/64x64/filters:strip_icc()/pic7149798.jpg
279537,The Search for Planet X,2020,90,7.98,7.566,10709,/boardgame/279537/search-planet-x,https://cf.geekdo-images.com/NItjtztEUAKOpaTWZddu9A__micro/img/m4I9uS6LBjNz02oNquEkBM-L464=/fit-in/64x64/filters:strip_icc()/pic5744928.jpg
264220,Tainted Grail: The Fall of Avalon,2019,91,8.11,7.559,11675,/boardgame/264220/tainted-grail-fall-avalon,https://cf.geekdo-images.com/aAwBzPzta4joKfFZt05hCw__micro/img/28sp86TqPbMqn9M_qHWfS9j44-w=/fit-in/64x64/filters:strip_icc()/pic4385726.jpg
93,El Grande,1995,92,7.73,7.554,27191,/boardgame/93/el-grande,https://cf.geekdo-images.com/GO282hlXR3RiknU5W4GZjg__micro/img/Ya0GwTP0sOChJ3b0E3Ufmua39gw=/fit-in/64x64/filters:strip_icc()/pic5373572.png
236457,Architects of the West Kingdom,2018,93,7.75,7.549,27578,/boardgame/236457/architects-west-kingdom,https://cf.geekdo-images.com/OAX7HfOz-9N60StgADzd0g__micro/img/5OEOXKjvrEMh2aT5I-FrAn5-9jo=/fit-in/64x64/filters:strip_icc()/pic3781944.png
180263,The 7th Continent,2017,94,7.85,7.546,21776,/boardgame/180263/7th-continent,https://cf.geekdo-images.com/OYne8uBCHv5oEgRfpOrV0A__micro/img/8IGVzvGADTyV8kjaMNw-VCBL4TY=/fit-in/64x64/filters:strip_icc()/pic2648303.jpg
37111,Battlestar Galactica: The Board Game,2008,95,7.73,7.543,36081,/boardgame/37111/battlestar-galactica-board-game,https://cf.geekdo-images.com/5Q2w2rFJiFI_uV89KP6ECg__micro/img/KGgAsbHUPaEjsl-r05JCH2ixP1o=/fit-in/64x64/filters:strip_icc()/pic354500.jpg
225694,Decrypto,2018,96,7.77,7.537,20847,/boardgame/225694/decrypto,https://cf.geekdo-images.com/hHZWXnUTMYDd_KTAM6Jwlw__micro/img/g7DQGNNf6ZFwYDGpe9kT3e4KELY=/fit-in/64x64/filters:strip_icc()/pic3759421.jpg
