ID,Name,Year,Rank,Average,Bayes average,Users rated,URL,Thumbnail
224517,Brass: Birmingham,2018,1,8.6,8.417,44359,/boardgame/224517/brass-birmingham,https://cf.geekdo-images.com/x3zxjr-Vw5iU4yDPg70Jgw__micro/img/4Od3GYCiqptga0VbmyumPbJlBsU=/fit-in/64x64/filters:strip_icc()/pic3490053.jpg
161936,Pandemic Legacy: Season 1,2015,2,8.53,8.383,52968,/boardgame/161936/pandemic-legacy-season-1,https://cf.geekdo-images.com/-Qer2BBPG7qGGDu6KcVDIw__micro/img/n6-sXYD6XXZoqIxq4P6AG7VPCuA=/fit-in/64x64/filters:strip_icc()/pic2452831.png
174430,Gloomhaven,2017,3,8.6,8.361,61518,/boardgame/174430/gloomhaven,https://cf.geekdo-images.com/sZYp_3BTDGjh2unaZfZmuA__micro/img/sQyh47ClBO3d5sxPm73hMvM-JV4=/fit-in/64x64/filters:strip_icc()/pic2437871.jpg
342942,Ark Nova,2021,4,8.54,8.334,41333,/boardgame/342942/ark-nova,https://cf.geekdo-images.com/SoU8p28Sk1s8MSvoM4N8pQ__micro/img/LSAi1pmhbTbWwtBrziutDOXzfdY=/fit-in/64x64/filters:strip_icc()/pic6293412.jpg
233078,Twilight Imperium: Fourth Edition,2017,5,8.6,8.242,23246,/boardgame/233078/twilight-imperium-fourth-edition,https://cf.geekdo-images.com/_Ppn5lssO5OaildSE-FgFA__micro/img/2gymaKs35_2yj7eyyA6cYyVmd9c=/fit-in/64x64/filters:strip_icc()/pic3727516.jpg
316554,Dune: Imperium,2020,6,8.43,8.226,43424,/boardgame/316554/dune-imperium,https://cf.geekdo-images.com/PhjygpWSo-0labGrPBMyyg__micro/img/mfU7-dEFnVyXJrF-BWAO0buexao=/fit-in/64x64/filters:strip_icc()/pic5666597.jpg
167791,Terraforming Mars,2016,7,8.36,8.216,97205,/boardgame/167791/terraforming-mars,https://cf.geekdo-images.com/wg9oOLcsKvDesSUdZQ4rxw__micro/img/LUkXZhd1TO80eCiXMD3-KfnzA6k=/fit-in/64x64/filters:strip_icc()/pic3536616.jpg
115746,War of the Ring: Second Edition,2011,8,8.54,8.181,20912,/boardgame/115746/war-ring-second-edition,https://cf.geekdo-images.com/ImPgGag98W6gpV1KV812aA__micro/img/NT-Av_3kdYUcwuti5ocmIQXow3g=/fit-in/64x64/filters:strip_icc()/pic1215633.jpg
291457,Gloomhaven: Jaws of the Lion,2020,9,8.45,8.173,33335,/boardgame/291457/gloomhaven-jaws-of-the-lion,https://cf.geekdo-images.com/_HhIdavYW-hid20Iq3hhmg__micro/img/OdKjWiFsNvQAfJfXXSITttiozWE=/fit-in/64x64/filters:strip_icc()/pic5055631.jpg
187645,Star Wars: Rebellion,2016,10,8.42,8.171,31972,/boardgame/187645/star-wars-rebellion,https://cf.geekdo-images.com/7SrPNGBKg9IIsP4UQpOi8g__micro/img/nEvTiCkWpT-ymH4bstc9c335TtQ=/fit-in/64x64/filters:strip_icc()/pic4325841.jpg
